ISO,Country,Region,City,Postcode,Street,Latitude,Longitude
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Ahmed Ibn Hanbal Street,30.300077,31.77997
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Al Imam Al Shafie Street,30.299554,31.759393
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Asad Allah Street,30.299746,31.755107
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Belbes - 10th of Ramadan Road,30.297967,31.677971
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44634,Masr Al Nour Road,30.297831,31.685978
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Mohamed Hafez Street,30.299745,31.744319
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Omar Ibn Abd Al Aziz Street,30.299877,31.740031
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Omar Ibn Al Khatab Street,30.300369,31.729908
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44634,Omar Ibn Al Khatab Street,30.299382,31.725197
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Othman Ibn Affan Street,30.29766,31.697372
EG,Egypt,Al Sharqia Governorate,Al Helsamiya,44669,Teraa Al Saeidia,30.649906,31.754377
EG,Egypt,Al Sharqia Governorate,Al-Salheya Al-Gedida,,403,30.65023,31.959694
EG,Egypt,Al Sharqia Governorate,Bahnabai,44819,"Banayous, Al Zagazig Road",30.649948,31.479953
EG,Egypt,Al Sharqia Governorate,Cairo,44629,"Cairo, Ismailia Desert Road",30.297127,31.801965
EG,Egypt,Al Sharqia Governorate,Ezab Arab al Tahawiya,44888,"Cairo, Al Ismaeileya Agricultural Road",30.509987,31.714681
EG,Egypt,Al Sharqia Governorate,Izbat al Hakim,44661,Al Sheikh Abou Hammad Street,30.509689,31.660398
EG,Egypt,Al Sharqia Governorate,Izbat Suwaylim,44621,"Cairo, Belbes Desert Road",30.30214,31.487925
EG,Egypt,Al Sharqia Governorate,Kafr Farag Girgis,44692,Wabour Al Nour Street,30.511435,31.335199
EG,Egypt,Al Sharqia Governorate,Kafr Saqr,44689,Al Markz Street,30.891351,31.653937
EG,Egypt,Al Sharqia Governorate,Minshat Safwat,44769,Regional Ring Road,30.64968,31.456509
EG,Egypt,Al Sharqia Governorate,Minya Al-Qamh,44692,Al Masna' Street,30.509931,31.340162
EG,Egypt,Al Sharqia Governorate,Minya Al-Qamh,44692,Al Mokhtar Street,30.510073,31.345017
EG,Egypt,Al Sharqia Governorate,Minya Al-Qamh,44692,Al Rashah Street,30.509987,31.350015
EG,Egypt,Al Sharqia Governorate,Mit Yazid,44692,Al Zagazig Al Gadida Street,30.510158,31.355128
EG,Egypt,Alexandria Governorate,Abu Qir,21913,Abou Qir Street,31.314857,30.060508
EG,Egypt,Alexandria Governorate,Abu Qir,21913,Al Moustafa Street,31.315124,30.065067
EG,Egypt,Alexandria Governorate,Abu Qir,21913,Masnaa Al Intag Al Harby Street,31.317624,30.054721
EG,Egypt,Alexandria Governorate,Abu Qir,21913,Shokry Al Qawatli Street,31.313643,30.067883
EG,Egypt,Alexandria Governorate,Alexandria,26215,14th May Street,31.213463,29.949547
EG,Egypt,Alexandria Governorate,Alexandria,21524,Al Geish Road,31.212476,29.917033
EG,Egypt,Alexandria Governorate,Alexandria,21556,Al Geish Road,31.21012,29.910343
EG,Egypt,Alexandria Governorate,Alexandria,21918,Al Hekma Street,31.214906,29.96996
EG,Egypt,Alexandria Governorate,Alexandria,21524,Al Mouhandes Hussein Ramadan Street,31.215042,29.925053
EG,Egypt,Alexandria Governorate,Alexandria,21561,Gamal Abd Al Naser Street,31.214063,29.935894
EG,Egypt,Alexandria Governorate,Alexandria,21561,Ibn Al Barizy Street,31.214857,29.929045
EG,Egypt,Alexandria Governorate,Alexandria,21918,Kolleyet Al Zeraah Street,31.214715,29.979897
EG,Egypt,Alexandria Governorate,Alexandria,21922,Street 2,31.215041,29.994921
EG,Egypt,Alexandria Governorate,Alexandria,26215,Street 38,31.217268,29.955452
EG,Egypt,Alexandria Governorate,Alexandria,21554,Street 50,31.215003,29.940159
EG,Egypt,Alexandria Governorate,Dauwar Masri,23719,"Matar Borg Al Arab, Al Mintaqa Al Senaaya Road",30.893835,29.694129
EG,Egypt,Alexandria Governorate,Ezab Nubar,21947,Madrasa Nasim Street,31.214207,30.034768
EG,Egypt,Alexandria Governorate,Izbat al Shaykh al Maraghi,21947,Al Salam Mosque Street,31.214966,30.02509
EG,Egypt,Alexandria Governorate,Izbat al Shaykh al Maraghi,21945,Extension Al Shahid Abd Al Moneim Riyad Street,31.21496,30.015053
EG,Egypt,Alexandria Governorate,Izbat al Shaykh al Maraghi,21945,Street 8,31.214991,30.020024
EG,Egypt,Alexandria Governorate,الجزائر,,"Side Cairo, Alexandria Desert Road",30.889966,29.879917
EG,Egypt,Assouan,Abu Simbel,81525,"Aswan, Abou Sambal Road",22.669744,31.484027
EG,Egypt,Assouan,Aswan,81514,"Al Sad Al Aali, Aswan Road",24.034834,32.921226
EG,Egypt,Assouan,Aswan,,Aswan - El Alaqi Road,23.713081,33.213683
EG,Egypt,Assouan,Aswan,81514,"Aswan, Al Sad Al Aali Road",24.034981,32.939101
EG,Egypt,Assouan,Aswan,81515,"Kima, Al Shalal Road",24.054984,32.919847
EG,Egypt,Assouan,Aswan,,"Luxor, Aswan Western Road",24.056016,32.834597
EG,Egypt,Assouan,Aswan,81531,"Luxor, Aswan Western Road",24.037062,32.847196
EG,Egypt,Assouan,Naj al Hawsh,81638,Aswan Western Agricultural Road,24.668888,32.926026
EG,Egypt,Assouan,Sahara City,81545,"Aswan, Abou Sambal Road",23.673699,32.437647
EG,Egypt,Assouan,Shash Village,81531,25,24.034742,32.870092
EG,Egypt,Assouan,الكاجوج,81638,"Cairo, Aswan Eastern Desert Road",24.669499,32.94741
EG,Egypt,Beheira Governorate,Al Busayli,22748,Gammal Abd Al Naser Street,31.310637,30.351131
EG,Egypt,Beheira Governorate,Al Nubaria,22773,"Side Cairo, Alexandria Desert Road",30.653639,30.097545
EG,Egypt,Beheira Governorate,Al-Mahmudiya,22718,Gesr Al Bahr Street,31.214571,30.520735
EG,Egypt,Beheira Governorate,Hawsh Isa,22728,"Housh Eissa, Al Dalangat Road",30.888831,30.281284
EG,Egypt,Beheira Governorate,Idku,22748,Street 2,31.31499,30.294989
EG,Egypt,Beheira Governorate,Itay el-Barud,22951,Al Bahr Street,30.890329,30.655252
EG,Egypt,Beheira Governorate,Itay el-Barud,22951,Al Sayed Shokr Street,30.889971,30.664948
EG,Egypt,Beheira Governorate,Itay el-Barud,22951,Gammal Abd Al Naser Street,30.889968,30.660013
EG,Egypt,Beheira Governorate,Izbat al Muhit,22748,Al Masraf Al Khairy Street,31.31497,30.370008
EG,Egypt,Beheira Governorate,Izbat al Muhit,22748,Madrab Al Arz Street,31.316971,30.379468
EG,Egypt,Beheira Governorate,Izbat Kawm al Kalakh,22748,International Coastal Road,31.311637,30.278086
EG,Egypt,Beheira Governorate,Izbat Musaid,,International Coastal Road,31.215606,30.109587
EG,Egypt,Beheira Governorate,Wadi el Natroun,22856,"Side Cairo, Alexandria Desert Road",30.513375,30.239408
EG,Egypt,Beni Suef Governorate,Atf Ifwah,62951,Saad Zaghloul Street,29.374798,31.198859
EG,Egypt,Beni Suef Governorate,Beni Suef,12959,Cairo Asyout Desert Road,29.615005,31.410278
EG,Egypt,Beni Suef Governorate,Beni Suef,11511,"Korimat, Zaafarana Road",29.09986,31.428073
EG,Egypt,Beni Suef Governorate,Beni Suef,62515,Masraf Ashmant Road,29.095013,31.109978
EG,Egypt,Beni Suef Governorate,Beni Suef,62515,Ring Road,29.094124,31.104822
EG,Egypt,Beni Suef Governorate,Beni Suef,62747,Ring Road,29.094707,31.09511
EG,Egypt,Beni Suef Governorate,Beni Suef,62514,Riyad Street,29.095018,31.100137
EG,Egypt,Beni Suef Governorate,Ihnasya al Madinah,62631,Gammal Abd Al Naser Street,29.094318,30.955382
EG,Egypt,Beni Suef Governorate,Ihnasya al Madinah,62631,Madrasa Abou Zid Al Abtda'yh Street,29.095095,30.96487
EG,Egypt,Beni Suef Governorate,Ihnasya al Madinah,62631,Masr W Al Sudan Street,29.09495,30.940299
EG,Egypt,Beni Suef Governorate,Ihnasya al Madinah,62631,Masraf Gawhar Street,29.094642,30.945626
EG,Egypt,Beni Suef Governorate,Nazlet Abu Silim,62515,Sherif Basha Road,29.095732,31.128979
EG,Egypt,Beni Suef Governorate,Ras Gharib,84715,"Ra's Ghareb, Al Sheikh Fadl Road",28.279317,31.911039
EG,Egypt,Beni Suef Governorate,Sharahi,62631,Teraa Sharhy Street,29.094221,30.950511
EG,Egypt,Dakahlia Governorate,Al Damairah,,Mansoura - International Coastal Road,31.21552,31.39214
EG,Egypt,Dakahlia Governorate,Al Hasayina,35651,Teraa Al Bohiah Al Bahareya Street,30.889508,31.485192
EG,Egypt,Dakahlia Governorate,Az Zarqa,34724,Al Mansoura Street,31.214788,31.64524
EG,Egypt,Dakahlia Governorate,Bilqas,35631,Al Bahr Al Gadid Street,31.215,31.345082
EG,Egypt,Dakahlia Governorate,Bilqas,35631,Al Teraa Street,31.214993,31.349954
EG,Egypt,Dakahlia Governorate,Bilqas,35631,Awlad Omar Street,31.215021,31.354981
EG,Egypt,Dakahlia Governorate,Bilqas,35631,Street 60,31.21504,31.360024
EG,Egypt,Dakahlia Governorate,Bilqas,35631,Street 7,31.215001,31.370001
EG,Egypt,Dakahlia Governorate,El Senbellawein City,35651,Al Zouhera Street,30.890266,31.450045
EG,Egypt,Dakahlia Governorate,Izbat Abu Laban,35651,Abd Al Moneim Riyad Street,30.889441,31.469853
EG,Egypt,Dakahlia Governorate,Izbat Abu Laban,35651,Street 3,30.889989,31.465007
EG,Egypt,Dakahlia Governorate,Izbat Hasan Kasibah,35661,"Damietta, Sahrbin Road",31.215069,31.569939
EG,Egypt,Dakahlia Governorate,Mit al Khawli Abd Allah,34724,Kafr Al Myasarh Road,31.214701,31.635828
EG,Egypt,Dakahlia Governorate,Noub,35651,"Aga, Al Senbilawin Road",30.889865,31.43995
EG,Egypt,Dakahlia Governorate,Qaryat al Minasra,,5,31.313578,32.144298
EG,Egypt,Dakahlia Governorate,Qaryat al Minasra,,International Coastal Road,31.313422,32.124202
EG,Egypt,Damietta Governorate,Al Atawi,34612,Al Shahid Rashad Abou Taha Street,31.320666,31.79193
,,,Cairo,,التبين,,
,,,Cairo,,حلوان,,
,,,Cairo,,المعصرة,,
,,,Cairo,,خمسة عشر مايو,,
,,,Cairo,,طره,,
,,,Cairo,,المعادى,,
,,,Cairo,,البساتين,,
,,,Cairo,,دار السلام,,
,,,Cairo,,مصر القديمة,,
,,,Cairo,,السيدة زينب,,
,,,Cairo,,الخليفة,,
,,,Cairo,,المقطم,,
,,,Cairo,,منشأة ناصر,,
,,,Cairo,,الدرب الاحمر,,
,,,Cairo,,الموسكى,,
,,,Cairo,,عابدين,,
,,,Cairo,,قصر النيل,,
,,,Cairo,,الزمالك,,
,,,Cairo,,بولاق,,
,,,Cairo,,الازبكية,,
,,,Cairo,,باب الشعرية,,
,,,Cairo,,الجمالية,,
,,,Cairo,,الظاهر,,
,,,Cairo,,الوايلى,,
,,,Cairo,,حدائق القبة,,
,,,Cairo,,الشرابية,,
,,,Cairo,,شبرا,,
,,,Cairo,,روض الفرج,,
,,,Cairo,,الساحل,,
,,,Cairo,,الزاوية الحمراء,,
,,,Cairo,,الاميرية,,
,,,Cairo,,الزيتون,,
,,,Cairo,,المطرية,,
,,,Cairo,,عين شمس,,
,,,Cairo,,المرج,,
,,,Cairo,,أول السلام,,
,,,Cairo,,ثان السلام,,
,,,Cairo,,النزهة,,
,,,Cairo,,مصر الجديدة,,
,,,Cairo,,أول مدينة نصر,,
,,,Cairo,,ثان مدينة نصر,,
,,,Cairo,,التجمع الخامس,,
,,,Cairo,,أول القاهره الجديده,,
,,,Cairo,,التجمع الاول,,
,,,Cairo,,ثان القاهره الجديده,,
,,,Cairo,,القطامية,,
,,,Cairo,,ثالث القاهره الجديده,,
,,,Cairo,,الشروق,,
,,,Cairo,,مدينه بدر,,
